,Candidato,Serviços prestados por terceiros,Despesa com Impulsionamento de Conteúdos,"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito",Eventos de promoção da candidatura,Publicidade por materiais impressos,Doações financeiras a outros candidatos/partidos,Combustíveis e lubrificantes,Criação e inclusão de páginas na internet,Taxa de Administração de Financiamento Coletivo,Despesas com Hospedagem,Despesas com transporte ou deslocamento,Despesas com pessoal,"Produção de programas de rádio, televisão ou vídeo",Publicidade por jornais e revistas,Publicidade por adesivos,"Produção de jingles, vinhetas e slogans",Atividades de militância e mobilização de rua,Serviços próprios prestados por terceiros,Locação/cessão de bens móveis (exceto veículos),Diversas a especificar,Locação/cessão de bens imóveis,Publicidade por carros de som,"Impostos, contribuições e taxas",Cessão ou locação de veículos,Materiais de expediente,Alimentação,Correspondências e despesas postais,Água,Energia elétrica,Comícios,Aquisição/Doação de bens móveis ou imóveis,Pré-instalação física de comitê de campanha,Pesquisas ou testes eleitorais,Multas eleitorais,Passagem Aérea,Telefone,Encargos sociais,Reembolsos de gastos realizados por eleitores,Gasto_Candidato,Votos recebidos
594,JÚLIA MARTIN DA CRUZ,26810.0,5000.0,41.0,0.0,37250.0,10000.0,1200.0,40.0,126.28,0.0,0.0,0.0,0.0,0.0,3285.0,0.0,17980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2104.0,831.1,101.71,330.49,0.0,0.0,0.0,0.0,0.0,0.0,190.65,0.0,0.0,105290.23,7704.0
595,PAULO ROBERTO DE QUEIROZ MOTTA,35100.0,0.0,162.95000000000002,0.0,41068.0,0.0,0.0,200.0,173.41,0.0,0.0,0.0,0.0,4600.0,0.0,0.0,0.0,12030.0,0.0,5058.0,6000.0,0.0,0.0,0.0,0.0,0.0,72.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104464.41,1956.0
596,AIRES RIBEIRO,0.0,0.0,162.9,0.0,65850.0,0.0,2018.4,0.0,0.0,0.0,0.0,5600.0,8000.0,1601.6,6180.0,0.0,0.0,8000.0,0.0,0.0,740.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104152.9,11791.0
597,JOSÉ ANTONIO FIGUEIREDO ANTIORIO FILHO,39457.27,0.0,209.1,0.0,40550.0,0.0,2773.02,3500.0,44.6,0.0,356.12,1500.53,1500.0,1060.74,1780.0,4630.0,1500.0,400.0,0.0,49.9,0.0,0.0,0.0,0.0,0.0,625.8,3306.06,329.9,0.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104023.04,2909.0
598,GERALDO LEITE DA CRUZ,1454.0,5500.0,224.75,410.0,14404.4,0.0,4615.79,800.0,51.4,0.0,0.0,64896.67,0.0,0.0,7015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,340.5,0.0,0.0,51.81,60.03,0.0,0.0,0.0,0.0,0.0,0.0,228.35,0.0,0.0,103652.7,31415.0
599,ADMIR DONIZETI FERRO,0.0,11500.0,384.0,0.0,17875.5,0.0,1414.77,0.0,0.0,0.0,0.0,64544.8,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,275.35,3550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103244.42,7571.0
600,VINICIUS PASSOS,59302.0,8000.0,92.4,0.0,16255.0,0.0,1500.0,9500.0,258.6,0.0,0.0,0.0,0.0,1464.0,0.0,0.0,0.0,5800.0,0.0,0.0,0.0,800.0,0.0,0.0,143.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103115.1,15160.0
601,MILAINE CRISTINA LEITE RUVIÉRE CALAZANS,12240.0,0.0,93.0,0.0,14969.0,0.0,6440.83,3000.0,0.0,0.0,0.0,31687.0,0.0,13200.0,1125.5,0.0,0.0,0.0,275.0,0.0,0.0,1800.0,0.0,16443.73,0.0,1296.0,417.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102987.76,5638.0
602,MARIA ANGELICA MARIANO,83443.12,93.78,193.1,0.0,300.0,0.0,1500.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,970.0,0.0,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102500.0,2556.0
603,HAROLDO DE SÁ QUARTIM BARBOSA FILHO,10865.0,1000.0,683.13,0.0,15640.0,0.0,2440.0,0.0,1696.36,0.0,0.0,2300.0,0.0,750.0,4760.0,0.0,61250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,913.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102297.82,9219.0
604,MONICA CATTANI,12820.0,0.0,267.8,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,1550.0,2840.0,1200.0,78200.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102277.8,1594.0
605,SERGIO CALDAS SANTANA,14900.0,3000.0,86.6,0.0,17000.0,0.0,13377.0,0.0,0.0,0.0,0.0,0.0,10000.0,2900.0,31414.0,0.0,0.0,4000.0,0.0,480.0,0.0,0.0,20.4,4727.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101905.45,7304.0
606,JAIME DE SOUZA,5000.0,0.0,158.4,0.0,8944.08,0.0,2909.93,2000.0,0.0,0.0,0.0,41600.0,0.0,1020.0,5635.0,0.0,23540.0,0.0,0.0,0.0,0.0,0.0,0.0,8498.5,400.0,1515.0,0.0,0.0,0.0,0.0,0.0,510.0,0.0,0.0,0.0,0.0,0.0,0.0,101730.91,24703.0
607,GIRLÊNIO GOMES DE OLIVEIRA,4000.0,5000.0,0.0,0.0,51310.0,0.0,2205.2200000000003,0.0,0.0,0.0,0.0,21316.0,600.0,5827.0,7886.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101346.22,28083.0
608,ALEXANDRO DE ARAUJO,0.0,6000.0,120.0,0.0,33797.2,0.0,2012.8,0.0,0.0,0.0,0.0,57800.0,0.0,1170.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101200.0,13361.0
609,JOSÉ ARAUJO SILVA,6000.0,11000.0,197.0,0.0,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,68229.01,8300.0,0.0,0.0,0.0,0.0,0.0,0.0,3583.99,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101110.0,1079.0
610,SILVIO AMARAL SOARES,53604.0,0.0,120.45,0.0,2800.0,0.0,488.03,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0,0.0,43116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101028.48,2653.0
611,MARIA LUCIA MELLA NAF,66536.6,0.0,85.85,0.0,1058.0,0.0,19202.9,0.0,0.0,0.0,0.0,0.0,500.0,360.0,356.0,0.0,0.0,0.0,0.0,348.0,1000.0,0.0,170.81,8866.6,0.0,2249.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100734.75,950.0
612,CARLOS FERNANDO FOGANHOLI,37900.0,7700.0,165.8,0.0,36195.0,0.0,6181.35,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,4500.0,2600.0,3389.0,160.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100691.45,2780.0
613,RODRIGO DE ALMEIDA SOUZA,6000.0,7500.0,175.81,0.0,23150.0,0.0,4587.61,0.0,0.0,0.0,0.0,56640.0,0.0,0.0,550.0,1100.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100503.42,4851.0
614,LUIZ EDUARDO OLIVEIRA ALVES,18000.0,0.0,10.15,0.0,1000.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,32000.0,0.0,49000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100460.15,4310.0
615,LUIS FERNANDO QUINTEIRO DE SOUZA,6000.0,2100.0,9.0,0.0,53000.0,0.0,1359.75,0.0,210.0,0.0,0.0,15100.0,0.0,0.0,13575.0,0.0,0.0,4000.0,0.0,0.0,1800.0,500.0,0.0,0.0,184.22,66.1,2369.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100273.22,26986.0
616,SANDRA CANDIDO MORETTI,0.0,350.0,516.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19800.0,0.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100266.65,6787.0
617,ISABEL KAUSZ DOS REIS,16000.0,2160.0,215.1,0.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,71150.0,0.0,0.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100090.1,1287.0
